Date,open,high,low,close,volume
2018-01-03,292.25,297.95,292.15,297.95,2232020
2018-01-04,298.95,308.25,297.6,307.0,5762200
2018-01-05,307.0,313.65,304.65,311.95,4237350
2018-01-09,312.6,316.25,311.15,315.1,4577460
2018-01-10,316.1,319.85,312.0,317.75,5564030
2018-01-11,317.75,325.0,316.05,325.0,4586170
2018-01-12,325.5,326.95,318.55,324.35,5490740
2018-01-15,325.0,326.7,318.75,319.95,3518870
2018-01-16,320.0,321.45,314.0,317.5,4620330
2018-01-17,316.0,326.5,312.95,326.5,6126070
2018-01-18,326.9,333.35,325.05,333.1,10934640
2018-01-19,332.8,332.95,326.65,328.0,4224540
2018-01-22,326.0,332.95,324.4,332.95,4538960
2018-01-23,333.55,336.4,329.2,335.0,5666010
2018-01-24,334.95,345.85,331.6,344.5,9614780
2018-01-25,347.9,359.3,343.5,351.5,15740420
2018-01-26,350.0,356.85,346.3,351.8,5869690
2018-01-29,352.5,356.8,346.35,346.35,5209810
2018-01-30,344.0,352.85,341.5,342.1,6319350
2018-01-31,341.8,347.45,338.5,343.2,5669980
2018-02-01,345.0,353.0,344.55,344.95,5355280
2018-02-02,346.5,349.0,337.25,339.9,5000440
2018-02-05,335.55,340.45,332.0,338.3,5413920
2018-02-06,332.05,337.25,328.35,330.0,6219130
2018-02-07,332.4,338.3,332.4,336.0,5303310
2018-02-08,333.05,335.4,326.6,326.65,4941760
2018-02-09,323.0,329.5,320.35,324.55,6429030
2018-02-12,328.2,332.65,324.7,325.3,6393160
2018-02-13,325.95,328.05,323.5,325.4,3564370
2018-02-14,326.55,326.95,322.75,326.0,3791640
2018-02-15,328.5,333.8,324.3,324.3,6019180
2018-02-16,326.95,328.25,323.1,324.2,3708170
2018-02-19,325.7,327.8,322.05,324.0,1711150
2018-02-20,323.9,325.35,320.55,322.0,2081750
2018-02-21,321.9,333.5,319.5,333.5,4642740
2018-02-22,331.05,338.0,329.05,337.3,4431330
2018-02-26,341.85,345.85,340.6,341.8,4590400
2018-02-27,342.5,343.2,336.65,337.5,2477180
2018-02-28,333.5,335.7,329.15,330.5,2911040
2018-03-01,327.0,327.85,322.1,323.5,3978300
2018-03-02,322.9,324.8,314.6,319.5,6258450
2018-03-05,321.6,324.45,319.3,320.5,3448770
2018-03-06,322.1,324.95,318.05,318.7,3972670
2018-03-07,317.25,317.4,312.2,315.0,2913810
2018-03-09,314.95,316.45,312.25,313.25,2974960
2018-03-12,314.55,319.55,313.1,314.7,6769100
2018-03-13,314.0,315.35,312.0,312.0,4546780
2018-03-14,311.0,311.5,307.55,310.35,4873470
2018-03-15,310.0,316.0,305.55,314.2,6690690
2018-03-16,315.85,319.45,311.5,319.3,6848630
2018-03-19,321.8,324.6,316.0,316.0,8328140
2018-03-20,317.0,319.25,312.6,317.55,5622870
2018-03-21,317.65,321.5,316.0,317.5,4980520
2018-03-22,318.6,319.75,315.0,316.15,3247090
2018-03-23,315.35,315.35,311.25,314.5,3689250
2018-03-26,313.8,314.45,308.05,308.05,3410780
2018-03-27,310.05,311.25,308.15,309.65,2724110
2018-03-28,308.25,310.85,305.0,308.8,2930120
2018-03-29,310.05,317.5,309.7,316.35,3848480
2018-03-30,317.5,318.1,313.2,313.9,1223700
2018-04-02,314.5,316.85,309.05,309.05,2452220
2018-04-03,309.05,313.85,309.05,313.25,4461740
2018-04-04,313.5,319.95,313.3,319.6,7918150
2018-04-05,321.0,325.95,320.1,322.65,8052760
2018-04-06,321.9,322.3,318.05,319.6,3621820
2018-04-09,318.1,318.85,281.65,299.5,22425040
2018-04-10,299.0,313.95,296.4,309.0,13051680
2018-04-11,309.0,324.0,306.9,324.0,16920630
2018-04-12,324.95,333.0,316.2,333.0,18639000
2018-04-13,331.3,331.75,319.8,323.0,8414940
2018-04-16,317.0,324.5,315.1,319.0,3545420
2018-04-17,324.0,329.5,320.05,329.5,7051100
2018-04-18,329.3,337.85,326.0,333.1,8288320
2018-04-19,335.25,339.0,333.0,337.3,6569130
2018-04-20,336.5,342.45,334.1,338.95,7033820
2018-04-23,339.95,351.0,336.1,351.0,8675780
2018-04-24,352.9,362.5,347.8,352.25,9104490
2018-04-25,349.7,370.0,348.05,370.0,12084360
2018-04-26,368.1,376.0,364.0,375.0,13914390
2018-04-27,375.0,380.65,373.5,380.0,10768550
2018-04-28,379.5,381.15,376.0,381.0,1342710
2018-04-30,381.05,388.25,379.15,383.0,3687340
2018-05-02,390.0,408.05,389.3,401.05,13341560
2018-05-03,400.05,400.9,386.1,387.15,9673410
2018-05-04,388.0,394.95,385.05,386.75,4935000
2018-05-07,390.0,398.95,387.5,388.25,5697830
2018-05-08,388.35,394.55,385.8,393.05,5798310
2018-05-10,400.0,400.0,393.2,395.7,3784410
2018-05-11,393.2,403.75,392.45,401.45,6064050
2018-05-14,402.0,404.5,397.45,403.55,2984860
