Date,open,high,low,close,volume
2018-01-03,226.88,232.7,226.35,231.9,34549620
2018-01-04,232.13,239.5,231.0,238.8,53598520
2018-01-05,238.89,239.95,236.7,238.6,31579190
2018-01-09,239.03,243.76,239.01,240.4,53172330
2018-01-10,240.4,241.25,237.06,237.76,39371720
2018-01-11,237.76,240.88,235.21,239.0,43067630
2018-01-12,238.92,239.0,236.05,237.75,30895860
2018-01-15,239.0,240.97,238.0,238.85,25681720
2018-01-16,239.01,240.0,236.01,239.64,25475380
2018-01-17,238.62,239.82,236.53,239.82,30522070
2018-01-18,240.5,246.69,240.0,245.5,64156650
2018-01-19,245.15,245.98,240.68,242.45,38996990
2018-01-22,242.97,244.89,241.41,243.99,25098970
2018-01-23,244.77,246.25,241.67,244.4,43978210
2018-01-24,244.2,247.53,242.32,247.53,31180190
2018-01-25,247.9,251.65,247.58,250.64,54995210
2018-01-26,249.3,251.23,245.93,247.0,35231900
2018-01-29,247.5,250.79,246.0,250.48,49186400
2018-01-30,248.53,258.96,247.91,257.8,65622240
2018-01-31,257.5,264.79,255.7,264.5,63707920
2018-02-01,265.0,270.3,260.6,263.2,73041240
2018-02-02,263.69,264.83,256.2,257.32,64657160
2018-02-05,254.85,258.29,252.6,255.64,45926950
2018-02-06,250.0,262.55,248.1,258.94,85982110
2018-02-07,263.9,264.37,256.26,257.58,53641050
2018-02-08,256.4,259.76,253.19,253.19,37198300
2018-02-09,249.03,252.89,244.13,250.11,81984710
2018-02-12,253.0,256.36,251.67,255.05,41817940
2018-02-13,255.87,258.62,254.7,258.3,43733360
2018-02-14,259.07,263.37,257.26,262.03,60442410
2018-02-15,267.53,268.77,264.0,264.58,60907490
2018-02-16,265.97,267.97,263.11,266.99,51931210
2018-02-19,267.0,270.0,265.3,266.85,24171390
2018-02-20,266.85,267.8,264.72,267.22,24750090
2018-02-21,266.05,279.2,266.05,279.2,70374070
2018-02-22,277.99,279.5,275.52,277.49,50751740
2018-02-26,279.0,285.0,278.59,279.97,67733260
2018-02-27,280.82,280.99,276.61,278.21,40006960
2018-02-28,276.0,277.41,272.0,272.4,53012950
2018-03-01,270.98,277.0,270.9,275.0,38979860
2018-03-02,274.4,275.5,268.56,273.0,46027880
2018-03-05,273.7,278.84,273.5,277.0,34109000
2018-03-06,278.5,281.5,274.03,274.03,40605460
2018-03-07,272.99,276.72,270.15,274.0,49998920
2018-03-09,274.55,275.48,270.61,274.6,26351860
2018-03-12,276.05,277.3,273.55,274.3,23710370
2018-03-13,274.0,275.93,272.66,273.95,34643840
2018-03-14,273.0,273.4,262.11,262.5,61779660
2018-03-15,263.0,264.61,253.29,254.51,78054390
2018-03-16,255.29,257.98,249.76,256.15,91870960
2018-03-19,257.8,259.81,250.01,255.0,42502100
2018-03-20,255.98,257.34,250.4,257.15,62966810
2018-03-21,258.0,270.0,257.23,268.88,69909930
2018-03-22,269.97,271.8,264.1,265.5,55550150
2018-03-23,259.02,264.25,259.02,262.0,46285060
2018-03-26,262.0,264.87,255.0,255.0,56903720
2018-03-27,256.99,258.43,252.27,258.0,45163380
2018-03-28,255.5,256.12,250.75,251.5,43754240
2018-03-29,252.12,255.6,252.12,252.9,33625120
2018-03-30,254.0,254.49,252.8,253.57,10912160
2018-04-02,253.58,258.34,249.99,249.99,35436630
2018-04-03,250.01,251.93,245.38,251.6,63806710
2018-04-04,252.21,255.77,249.09,255.69,52051840
2018-04-05,257.25,262.89,255.92,262.0,52779220
2018-04-06,260.64,262.32,256.01,256.76,40256090
2018-04-09,255.05,255.3,205.0,213.0,250018990
2018-04-10,211.24,224.47,197.0,214.8,253346870
2018-04-11,214.0,223.6,204.24,208.0,185659760
