Date,open,high,low,close,volume
2018-01-03,3340.0,3421.5,3340.0,3421.5,395934
2018-01-04,3428.0,3501.0,3392.5,3501.0,702060
2018-01-05,3499.5,3569.5,3491.0,3569.5,597634
2018-01-09,3575.0,3647.5,3575.0,3628.5,852342
2018-01-10,3640.0,3649.0,3594.5,3641.0,1025327
2018-01-11,3644.5,3689.5,3610.0,3687.5,665221
2018-01-12,3677.0,3942.0,3650.0,3908.0,2678400
2018-01-15,3932.0,3985.0,3876.5,3876.5,928147
2018-01-16,3887.0,3897.0,3767.5,3862.0,1158201
2018-01-17,3846.5,3868.5,3811.0,3851.5,808217
2018-01-18,3866.0,3890.0,3842.5,3855.0,979560
2018-01-19,3850.0,3885.5,3801.0,3825.5,662931
2018-01-22,3830.0,3871.0,3812.0,3870.0,611168
2018-01-23,3870.0,3870.0,3791.0,3841.5,828465
2018-01-24,3841.0,3852.5,3808.0,3850.0,524751
2018-01-25,3860.0,3860.0,3808.0,3825.0,1089571
2018-01-26,3824.5,3828.0,3780.5,3821.0,628670
2018-01-29,3825.0,3830.5,3759.0,3778.0,727704
2018-01-30,3753.0,3816.0,3703.0,3713.0,827378
2018-01-31,3700.0,3759.0,3697.0,3728.0,1036121
2018-02-01,3733.0,3762.5,3722.5,3760.5,506782
2018-02-02,3754.0,3798.0,3741.0,3797.0,692059
2018-02-05,3770.0,3787.5,3746.0,3752.0,724635
2018-02-06,3677.0,3718.0,3611.5,3655.5,1801395
2018-02-07,3686.5,3754.0,3675.0,3735.0,862033
2018-02-08,3715.5,3750.5,3681.0,3686.0,1006162
2018-02-09,3650.0,3679.5,3615.0,3617.5,1284861
2018-02-12,3639.0,3682.5,3621.0,3656.5,746034
2018-02-13,3662.5,3737.0,3650.0,3729.5,830901
2018-02-14,3735.0,3751.5,3685.0,3709.0,680598
2018-02-15,3735.0,3767.0,3726.5,3730.0,850067
2018-02-16,3745.0,3819.0,3735.0,3751.0,795779
2018-02-19,3755.0,3778.0,3705.5,3715.0,394167
2018-02-20,3711.0,3744.0,3686.5,3744.0,362064
2018-02-21,3732.0,3819.0,3731.5,3808.5,584030
2018-02-22,3795.0,3836.0,3772.0,3836.0,772462
2018-02-26,3870.0,3899.0,3814.0,3839.5,681081
2018-02-27,3835.0,3855.5,3786.0,3838.5,659167
2018-02-28,3817.5,3832.5,3775.0,3776.5,793371
2018-03-01,3767.5,3790.0,3741.0,3754.0,580995
2018-03-02,3749.5,3769.0,3675.5,3749.5,562008
2018-03-05,3752.5,3786.0,3726.5,3730.0,374161
2018-03-06,3740.5,3766.0,3727.5,3744.0,645004
2018-03-07,3725.0,3726.0,3690.0,3721.0,677931
2018-03-09,3710.0,3789.0,3706.0,3789.0,325236
2018-03-12,3785.0,3794.0,3740.0,3770.0,373705
2018-03-13,3767.0,3776.0,3742.0,3773.0,507869
2018-03-14,3757.5,3776.0,3735.0,3742.0,502987
2018-03-15,3743.5,3800.0,3718.5,3800.0,943034
2018-03-16,3798.0,3874.5,3773.5,3874.5,1187540
2018-03-19,3873.5,3880.0,3807.5,3815.0,582051
2018-03-20,3827.5,3869.5,3792.0,3860.0,745211
2018-03-21,3865.0,3937.0,3849.0,3874.0,783536
2018-03-22,3889.5,3903.0,3829.0,3857.0,606156
2018-03-23,3838.0,3915.0,3818.0,3874.5,1101805
2018-03-26,3875.0,3889.0,3800.0,3800.0,638825
2018-03-27,3831.0,3909.0,3820.0,3878.0,889949
2018-03-28,3858.0,3947.0,3850.5,3927.0,710820
2018-03-29,3936.5,3991.5,3916.5,3991.5,861187
2018-03-30,3988.0,4004.0,3961.0,3961.0,265745
2018-04-02,3963.5,4005.0,3955.5,3955.5,434373
2018-04-03,3960.0,3975.0,3920.5,3951.0,460652
2018-04-04,3945.0,3966.0,3897.0,3939.0,644640
2018-04-05,3940.5,3990.0,3940.5,3990.0,617054
2018-04-06,3967.5,3972.5,3918.5,3939.0,570606
2018-04-09,3919.5,3920.5,3532.5,3620.0,2908801
2018-04-10,3646.5,3935.0,3621.0,3900.0,2183915
2018-04-11,3872.0,4077.0,3865.0,4070.0,2053395
2018-04-12,4077.0,4098.0,3944.5,3979.0,1184424
2018-04-13,3990.0,3990.0,3882.5,3902.0,1187189
2018-04-16,3877.0,3935.5,3851.5,3892.0,755970
2018-04-17,3912.5,3951.0,3905.0,3940.0,1015039
2018-04-18,3935.5,4033.5,3927.5,4030.0,1087745
2018-04-19,4030.0,4056.0,3994.0,4015.0,705236
2018-04-20,4008.0,4029.0,3965.0,3985.0,433760
2018-04-23,3981.5,4019.0,3933.0,3974.0,819372
2018-04-24,4000.5,4063.0,3980.0,3999.5,732044
2018-04-25,3973.5,4029.0,3950.5,4029.0,506747
2018-04-26,4029.5,4157.0,4016.5,4140.0,957780
2018-04-27,4140.5,4215.0,4140.5,4212.0,796268
2018-04-28,4202.0,4202.0,4170.0,4178.5,84288
2018-04-30,4171.0,4243.0,4156.5,4156.5,537010
2018-05-02,4155.0,4206.0,4141.0,4141.0,578521
2018-05-03,4137.5,4160.5,4068.0,4068.0,712980
2018-05-04,4089.5,4128.0,4080.5,4108.0,560144
2018-05-07,4111.0,4176.0,4111.0,4121.0,298539
2018-05-08,4110.5,4180.0,4086.5,4180.0,693559
2018-05-10,4225.0,4288.0,4209.5,4235.0,903164
2018-05-11,4250.0,4383.0,4236.0,4383.0,950563
2018-05-14,4372.5,4407.5,4322.5,4407.5,814988
2018-05-15,4379.5,4404.0,4355.0,4392.0,862316
2018-05-16,4380.0,4418.0,4347.5,4410.0,759144
2018-05-17,4409.0,4430.5,4354.0,4354.0,672983
2018-05-18,4364.0,4450.0,4354.5,4450.0,765743
2018-05-21,4449.0,4453.5,4398.5,4398.5,498242
2018-05-22,4407.5,4414.5,4337.0,4360.0,750105
2018-05-23,4338.5,4338.5,4251.5,4263.0,790126
2018-05-24,4283.0,4298.5,4230.0,4230.0,566530
2018-05-25,4246.0,4281.5,4206.0,4248.0,767247
2018-05-28,4253.5,4300.5,4217.0,4290.0,301323
2018-05-29,4292.0,4298.5,4163.0,4224.0,839253
2018-05-30,4224.0,4268.0,4181.5,4246.5,695454
2018-05-31,4255.0,4262.0,4157.5,4209.0,1514571
2018-06-01,4210.0,4258.0,4180.5,4205.5,750947
2018-06-04,4224.5,4304.5,4224.5,4299.0,747686
2018-06-05,4297.5,4313.5,4248.5,4278.0,1061259
2018-06-06,4285.0,4285.0,4212.5,4264.5,524848
2018-06-07,4270.0,4292.0,4250.0,4250.0,518073
2018-06-08,4235.0,4282.5,4159.5,4159.5,939857
2018-06-09,4172.5,4198.0,4168.5,4191.0,54043
2018-06-11,4194.0,4199.5,4140.0,4159.5,301390
2018-06-13,4181.5,4208.5,4140.0,4140.0,778022
2018-06-14,4120.0,4136.0,4083.0,4090.0,565773
2018-06-15,4102.5,4137.0,4053.0,4055.0,1592602
2018-06-18,4039.0,4082.0,4018.0,4045.5,576993
2018-06-19,4035.0,4108.5,4006.0,4091.0,834287
2018-06-20,4100.0,4161.5,4097.5,4132.0,793363
2018-06-21,4138.5,4171.5,4117.5,4135.0,693440
2018-06-22,4155.0,4189.0,4125.0,4125.0,673234
2018-06-25,4110.0,4167.5,4110.0,4140.0,489461
2018-06-26,4151.0,4173.0,4128.0,4154.0,420499
2018-06-27,4173.5,4259.0,4172.0,4222.0,593532
2018-06-28,4220.0,4272.0,4212.5,4230.5,678883
2018-06-29,4255.0,4355.0,4250.5,4350.0,1011525
