Date,open,high,low,close,volume
2018-01-03,679.8,696.8,678.3,695.1,515990
2018-01-04,695.2,705.7,691.7,697.3,634300
2018-01-05,695.5,705.3,694.5,701.0,574550
2018-01-09,704.0,705.7,692.4,695.4,785260
2018-01-10,695.2,696.0,680.5,685.4,1184750
2018-01-11,685.0,689.2,680.0,687.4,977130
2018-01-12,689.1,689.3,676.1,679.2,1031570
2018-01-15,680.0,691.3,678.0,690.4,729450
2018-01-16,693.4,696.9,684.9,686.9,576840
2018-01-17,689.9,692.5,668.0,689.1,1015670
2018-01-18,689.2,695.7,687.5,693.0,709950
2018-01-19,693.0,700.6,691.6,700.0,785210
2018-01-22,700.1,704.9,696.2,704.0,895750
2018-01-23,704.1,705.9,700.9,703.9,1194310
2018-01-24,705.9,710.8,701.4,709.0,634970
2018-01-25,710.5,723.0,707.0,717.2,1116310
2018-01-26,717.0,726.2,707.1,718.6,871000
2018-01-29,720.0,721.4,703.3,714.7,711740
2018-01-30,710.0,716.0,704.2,711.6,1172480
2018-01-31,708.0,727.9,705.3,727.7,997600
2018-02-01,725.0,734.4,722.3,732.0,790660
2018-02-02,732.9,744.4,727.0,733.0,1436680
2018-02-05,730.0,731.4,708.0,728.0,1092580
2018-02-06,709.0,738.0,709.0,729.7,1738770
2018-02-07,731.9,742.0,731.7,736.4,887740
2018-02-08,736.0,743.4,728.6,731.0,920020
2018-02-09,727.5,733.1,708.9,714.4,1455010
2018-02-12,720.0,730.6,712.5,718.0,1134410
2018-02-13,716.0,722.6,712.4,719.1,1346190
2018-02-14,720.3,730.0,715.7,730.0,1223720
2018-02-15,732.6,746.0,728.0,741.8,1364940
2018-02-16,744.9,758.2,737.5,737.6,1378650
2018-02-19,738.8,745.1,726.0,729.1,949150
2018-02-20,732.5,737.1,723.7,728.0,872820
2018-02-21,728.9,739.9,724.6,739.9,964790
2018-02-22,739.9,739.9,731.1,735.9,676050
2018-02-26,740.3,754.5,732.1,734.0,1379520
2018-02-27,736.0,742.5,734.0,735.0,604380
2018-02-28,735.5,736.5,710.0,710.0,971410
2018-03-01,714.2,734.9,714.2,732.9,793620
2018-03-02,732.0,736.2,716.0,732.0,647100
2018-03-05,733.0,740.0,730.2,736.4,449020
2018-03-06,739.1,742.8,730.9,736.9,474160
2018-03-07,734.9,734.9,715.0,729.3,1008310
2018-03-09,727.3,739.0,725.6,737.5,413120
2018-03-12,740.5,746.7,733.8,744.8,594430
2018-03-13,744.1,746.2,730.1,731.6,719700
2018-03-14,730.0,732.0,720.3,726.7,869780
2018-03-15,725.7,735.0,721.5,734.5,1150370
2018-03-16,735.0,787.0,729.6,747.1,1653840
2018-03-19,747.1,758.1,738.1,757.0,1001440
2018-03-20,758.9,763.5,744.4,757.5,875350
2018-03-21,759.0,762.0,751.0,760.4,612880
2018-03-22,760.9,762.0,747.2,748.7,532780
2018-03-23,742.7,754.0,738.4,750.0,752370
2018-03-26,748.7,750.9,734.3,743.1,678090
2018-03-27,744.0,752.8,734.5,752.8,643060
2018-03-28,747.5,753.7,737.2,743.0,752300
2018-03-29,742.9,746.4,736.1,741.9,475100
2018-03-30,743.8,746.8,737.6,737.6,172960
2018-04-02,740.3,745.0,734.0,735.2,338990
2018-04-03,737.4,743.7,735.3,741.0,379630
2018-04-04,743.0,753.1,742.8,753.1,670780
2018-04-05,754.0,773.9,754.0,770.0,946040
2018-04-06,768.0,775.7,758.2,762.3,639020
2018-04-09,762.0,779.2,656.3,710.9,3631270
2018-04-10,713.8,751.9,707.8,747.5,3064430
2018-04-11,747.5,758.0,722.5,743.4,2484320
2018-04-12,749.0,757.8,735.3,739.0,1496340
2018-04-13,743.9,744.8,725.0,732.1,1315870
2018-04-16,723.9,734.7,709.1,716.0,1270740
2018-04-17,726.7,736.9,720.1,728.0,1087080
2018-04-18,728.7,748.5,725.7,746.1,1010070
2018-04-19,749.0,755.1,733.0,734.1,786690
2018-04-20,736.2,744.9,735.7,738.6,643050
2018-04-23,739.1,749.0,729.0,743.7,1279340
2018-04-24,748.0,748.2,738.0,743.7,640280
