Date,open,high,low,close,volume
2018-01-03,108.8,113.02,108.8,113.02,152990
2018-01-04,113.1,116.0,112.69,115.85,200891
2018-01-05,116.06,116.39,114.56,115.65,191238
2018-01-09,116.1,117.94,115.9,116.75,244866
2018-01-10,116.7,116.97,114.82,116.55,231328
2018-01-11,116.14,118.5,115.4,116.62,225195
2018-01-12,116.6,117.22,114.81,116.0,129018
2018-01-15,116.61,117.5,115.8,117.5,136249
2018-01-16,116.95,117.0,113.2,113.75,214015
2018-01-17,113.28,114.98,111.35,114.98,263552
2018-01-18,114.98,116.3,114.16,115.6,199705
2018-01-19,115.67,116.0,113.84,114.7,155913
2018-01-22,114.5,115.69,113.9,114.88,157334
2018-01-23,115.35,115.35,111.06,111.98,279554
2018-01-24,111.9,113.78,109.65,113.25,247870
2018-01-25,114.2,115.37,113.5,115.37,262730
2018-01-26,115.25,115.25,112.21,114.2,174245
2018-01-29,115.0,117.09,114.21,115.39,208116
2018-01-30,114.17,115.19,113.66,114.83,166658
2018-01-31,114.5,116.64,114.04,116.08,174668
2018-02-01,116.07,117.5,115.47,116.39,172681
2018-02-02,116.48,116.95,114.0,114.96,193577
2018-02-05,114.5,116.7,112.5,115.81,169438
2018-02-06,112.9,114.91,112.65,113.08,305995
2018-02-07,114.7,115.12,112.05,112.68,190000
2018-02-08,112.39,112.5,110.2,111.1,163176
2018-02-09,109.41,113.49,109.06,111.01,213171
2018-02-12,112.55,112.91,111.22,111.47,133347
2018-02-13,111.96,115.0,111.22,115.0,213964
2018-02-14,115.01,117.61,114.6,117.61,264873
2018-02-15,118.0,119.7,117.6,117.85,315490
2018-02-16,117.9,117.99,104.22,108.1,1140685
2018-02-19,108.1,112.81,105.1,111.71,580491
2018-02-20,111.9,112.44,109.5,110.6,362250
2018-02-21,110.0,116.4,109.99,113.0,516332
2018-02-22,112.51,114.0,111.07,113.8,260419
2018-02-26,115.7,119.26,114.37,118.74,402976
2018-02-27,118.9,118.98,115.05,115.5,265654
2018-02-28,115.0,115.0,111.35,111.59,347007
2018-03-01,110.98,112.78,110.21,111.73,196345
2018-03-02,111.51,112.49,110.37,112.48,138150
2018-03-05,112.7,113.94,111.31,111.99,158462
2018-03-06,112.1,113.96,107.6,111.61,534687
2018-03-07,111.36,111.76,110.11,111.6,155791
2018-03-09,111.3,112.87,109.13,110.77,166640
2018-03-12,111.46,112.09,110.25,111.57,110478
2018-03-13,110.93,111.47,110.35,111.01,99039
2018-03-14,110.64,110.79,108.0,108.81,212369
2018-03-15,108.4,109.33,107.25,108.9,182542
2018-03-16,108.3,109.93,107.62,109.27,211891
2018-03-19,109.4,110.21,108.93,109.11,82011
2018-03-20,109.41,109.66,107.6,109.5,147443
2018-03-21,109.36,110.44,108.6,109.32,110234
2018-03-22,109.43,110.67,108.75,110.03,93711
2018-03-23,109.3,109.98,107.6,109.98,138654
2018-03-26,109.53,109.53,107.5,107.5,106859
2018-03-27,108.0,108.45,106.69,107.28,122646
2018-03-28,106.99,107.82,106.28,106.95,96600
2018-03-29,107.29,107.95,106.6,107.95,120855
2018-03-30,107.79,108.0,107.4,107.6,28302
2018-04-02,107.86,110.11,107.61,108.0,95784
2018-04-03,108.1,108.74,107.18,108.3,119362
2018-04-04,108.29,108.87,106.8,107.35,163314
2018-04-05,107.75,108.19,106.62,107.44,142517
2018-04-06,106.9,107.53,106.2,107.33,129463
2018-04-09,106.23,106.25,88.24,91.7,1298445
2018-04-10,92.41,99.98,91.0,98.1,704827
2018-04-11,98.1,103.43,96.61,98.88,412500
2018-04-12,99.04,103.76,96.59,103.76,421598
2018-04-13,103.66,105.7,102.5,104.9,319193
2018-04-16,102.57,106.78,97.78,99.0,579958
2018-04-17,102.9,103.7,100.61,102.29,280568
2018-04-18,102.55,106.72,102.1,106.72,369132
2018-04-19,107.5,110.75,105.2,106.85,419353
2018-04-20,106.8,107.3,105.25,106.15,130200
2018-04-23,106.06,108.9,104.05,108.75,333633
2018-04-24,109.1,109.32,107.27,108.6,127826
2018-04-25,108.0,108.88,107.2,108.03,126880
2018-04-26,108.0,109.88,107.57,109.88,177613
2018-04-27,109.8,110.0,107.77,109.89,140218
2018-04-28,109.15,109.5,108.81,109.49,22800
2018-04-30,109.64,109.85,108.06,108.14,78840
2018-05-02,108.34,111.15,108.01,110.4,149927
2018-05-03,110.1,110.98,108.56,108.56,129166
2018-05-04,109.04,110.3,108.75,109.96,107509
2018-05-07,110.45,112.1,110.35,111.5,99572
2018-05-08,111.52,111.54,108.73,110.94,226038
2018-05-10,110.52,110.65,106.65,107.3,346173
2018-05-11,107.6,108.28,106.64,107.29,113787
2018-05-14,107.53,107.89,106.28,107.78,117470
2018-05-15,107.78,109.35,106.65,109.15,207128
2018-05-16,109.0,110.1,107.8,108.0,170440
2018-05-17,108.34,108.39,107.32,107.9,195561
2018-05-18,107.96,108.46,107.06,107.32,130733
2018-05-21,107.54,110.47,107.54,109.22,170146
2018-05-22,109.2,110.75,108.32,109.98,138432
2018-05-23,109.34,110.19,108.5,108.5,124678
2018-05-24,108.86,109.77,108.21,108.8,90659
2018-05-25,110.0,111.09,109.41,110.9,191996
2018-05-28,110.52,111.74,110.52,111.7,51596
2018-05-29,111.68,111.97,110.43,111.44,105257
2018-05-30,111.43,112.59,110.12,110.66,171748
2018-05-31,111.0,111.82,110.23,111.11,246035
2018-06-01,111.42,113.63,110.75,111.5,166033
2018-06-04,111.97,114.74,111.97,114.74,116148
2018-06-05,114.8,115.9,114.18,115.51,97779
2018-06-06,115.44,116.4,114.21,116.4,131771
2018-06-07,116.14,117.39,115.2,116.44,103493
2018-06-08,116.4,117.35,113.55,113.55,182587
2018-06-09,114.0,114.9,113.91,114.84,17569
2018-06-11,114.58,115.9,113.8,115.0,54759
2018-06-13,114.9,115.65,112.73,112.75,140290
2018-06-14,112.68,112.95,110.85,111.61,135422
2018-06-15,111.73,112.52,110.58,110.66,188707
2018-06-18,110.5,111.65,110.11,110.51,99711
2018-06-19,110.28,112.0,108.61,111.26,185359
2018-06-20,111.47,113.5,111.47,112.43,176729
2018-06-21,112.5,113.42,112.1,112.24,113834
2018-06-22,112.7,113.83,112.0,112.22,121710
2018-06-25,112.02,114.87,112.01,112.85,126424
2018-06-26,113.05,114.0,112.07,112.22,60294
2018-06-27,112.07,112.7,110.53,111.0,229682
2018-06-28,112.6,113.0,110.8,111.15,160038
2018-06-29,111.71,113.99,111.51,113.99,160841
2018-07-02,113.49,116.24,113.04,116.0,159066
2018-07-03,116.23,116.45,114.64,115.4,106325
2018-07-04,115.5,116.02,114.38,114.58,110518
2018-07-05,114.79,116.0,113.81,115.66,241193
2018-07-06,115.6,117.47,115.31,116.98,149735
2018-07-09,117.5,118.84,116.5,117.99,181814
2018-07-10,118.07,118.68,116.5,117.25,174576
2018-07-11,116.48,116.48,112.6,112.6,355172
2018-07-12,113.5,113.89,112.01,113.59,207277
2018-07-13,113.49,114.8,113.01,113.98,298366
2018-07-16,109.28,109.69,106.31,106.8,283577
2018-07-17,106.76,106.76,104.7,106.1,183005
2018-07-18,106.21,106.67,104.75,105.74,192873
2018-07-19,105.6,105.9,102.8,103.5,162950
2018-07-20,103.5,104.47,101.74,102.55,178627
2018-07-23,102.78,104.34,102.2,103.14,99215
2018-07-24,103.53,107.9,103.39,107.6,281521
2018-07-25,106.99,108.82,105.69,108.45,149453
2018-07-26,108.7,109.39,107.37,108.27,146296
2018-07-27,108.0,108.71,106.69,108.48,107176
2018-07-30,108.15,109.35,107.4,108.66,98438
2018-07-31,108.5,109.39,107.25,108.82,136221
2018-08-01,108.79,109.03,107.6,107.82,80940
2018-08-02,107.46,107.81,105.92,107.0,125542
2018-08-03,106.69,108.14,105.17,108.14,110346
2018-08-06,107.81,108.4,106.52,107.7,77641
2018-08-07,107.8,108.47,107.15,108.3,84244
2018-08-08,108.3,108.5,106.5,108.3,183061
2018-08-09,108.2,109.99,107.35,109.99,276646
2018-08-10,106.0,108.0,104.86,108.0,438241
2018-08-13,107.5,111.0,107.37,110.05,295847
2018-08-14,111.05,111.91,109.26,109.9,246374
2018-08-15,109.72,110.0,108.61,110.0,251786
2018-08-16,110.0,110.67,108.44,109.01,143735
2018-08-17,109.28,109.78,107.8,108.21,152735
2018-08-20,108.61,110.0,108.39,109.5,154134
2018-08-21,109.74,110.15,108.91,109.3,120879
2018-08-22,109.46,110.74,108.96,110.74,199744
2018-08-23,110.33,111.37,109.21,109.5,149341
2018-08-24,109.32,110.35,109.1,110.15,93237
2018-08-27,110.3,110.72,109.86,110.72,66020
2018-08-28,110.62,113.37,110.6,112.5,279584
2018-08-29,112.5,113.82,112.3,113.38,127005
2018-08-30,113.79,113.85,112.14,112.62,136298
2018-08-31,112.4,113.09,111.82,112.2,124634
2018-09-03,112.23,113.23,112.0,112.87,63303
2018-09-04,112.7,113.24,111.57,112.5,92994
2018-09-05,112.35,112.39,111.36,111.36,94281
2018-09-06,111.55,113.05,111.25,112.06,101802
2018-09-07,112.09,112.98,111.18,112.0,100714
2018-09-10,112.2,113.68,112.11,113.65,113217
2018-09-11,113.33,114.8,112.9,114.56,176167
2018-09-12,114.49,115.68,114.21,115.65,115130
2018-09-13,115.61,116.7,115.26,116.37,99802
2018-09-14,116.5,116.5,115.05,115.25,92199
2018-09-17,115.2,115.4,113.53,115.4,116783
2018-09-18,115.2,116.3,115.1,115.87,106280
2018-09-19,116.0,117.9,115.4,116.51,225489
2018-09-20,116.6,118.38,115.94,117.05,277405
2018-09-21,117.4,120.73,117.3,120.73,331882
2018-09-24,120.65,121.44,117.57,119.16,218705
2018-09-25,119.0,119.79,118.01,119.57,166883
2018-09-26,119.57,119.97,118.8,118.86,105311
2018-09-27,118.75,119.3,117.57,118.3,325272
2018-09-28,111.7,114.59,111.01,113.88,319711
2018-10-01,114.3,115.29,112.51,113.07,157040
2018-10-02,113.39,113.93,111.56,112.29,124820
2018-10-03,112.01,115.06,112.01,113.65,168263
2018-10-04,114.1,114.44,113.07,114.16,100227
2018-10-05,114.09,114.1,112.47,112.92,89003
2018-10-08,113.28,113.99,112.9,113.21,78365
2018-10-09,113.42,115.09,113.26,114.03,89928
2018-10-10,114.2,116.5,113.51,113.76,183574
2018-10-11,112.2,112.85,111.14,112.53,180587
2018-10-12,112.9,113.26,111.43,111.7,150419
2018-10-15,111.5,111.76,110.11,110.88,169603
2018-10-16,110.99,112.64,110.55,112.64,135591
2018-10-17,112.66,114.7,112.54,114.3,110894
2018-10-18,114.23,114.23,112.57,113.6,107482
2018-10-19,113.67,114.86,112.85,113.78,140920
2018-10-22,114.0,115.8,112.8,112.91,136901
2018-10-23,112.75,112.89,110.61,110.61,129644
2018-10-24,111.11,112.3,110.25,110.25,168742
2018-10-25,109.98,110.75,108.7,109.02,191301
2018-10-26,108.71,109.14,105.7,106.5,203007
2018-10-29,106.39,107.7,105.55,106.79,97835
2018-10-30,106.57,107.67,106.11,107.02,110161
2018-10-31,107.49,110.0,107.4,110.0,154248
2018-11-01,109.5,112.5,109.1,112.5,188803
2018-11-02,112.61,114.7,112.35,114.7,284532
2018-11-06,114.3,115.88,113.22,115.65,134997
2018-11-07,115.42,116.95,114.61,116.95,149226
2018-11-08,116.63,117.5,115.71,116.98,121490
