date,key_rate,inflation,usd_rub,brent
2020-01-01,7.75,2.4,62.0,68.0
2020-01-02,7.75,2.4,62.0,68.0
2020-01-03,7.75,2.4,62.0,68.0
2020-01-06,7.75,2.4,62.0,68.0
2020-01-07,7.75,2.4,62.0,68.0
2020-01-08,7.75,2.4,62.0,68.0
2020-01-09,7.75,2.4,62.0,68.0
2020-01-10,7.75,2.4,62.0,68.0
2020-01-13,7.75,2.4,62.0,68.0
2020-01-14,7.75,2.4,62.0,68.0
2020-01-15,7.75,2.4,62.0,68.0
2020-01-16,7.75,2.4,62.0,68.0
2020-01-17,7.75,2.4,62.0,68.0
2020-01-20,7.75,2.4,62.0,68.0
2020-01-21,7.75,2.4,62.0,68.0
2020-01-22,7.75,2.4,62.0,68.0
2020-01-23,7.75,2.4,62.0,68.0
2020-01-24,7.75,2.4,62.0,68.0
2020-01-27,7.75,2.4,62.0,68.0
2020-01-28,7.75,2.4,62.0,68.0
2020-01-29,7.75,2.4,62.0,68.0
2020-01-30,7.75,2.4,62.0,68.0
2020-01-31,7.75,2.4,62.0,68.0
2020-02-03,7.75,2.4,62.0,68.0
2020-02-04,7.75,2.4,62.0,68.0
2020-02-05,7.75,2.4,62.0,68.0
2020-02-06,7.75,2.4,62.0,68.0
2020-02-07,7.75,2.4,62.0,68.0
2020-02-10,7.75,2.4,62.0,68.0
2020-02-11,7.75,2.4,62.0,68.0
2020-02-12,7.75,2.4,62.0,68.0
2020-02-13,7.75,2.4,62.0,68.0
2020-02-14,7.75,2.4,62.0,68.0
2020-02-17,7.75,2.4,62.0,68.0
2020-02-18,7.75,2.4,62.0,68.0
2020-02-19,7.75,2.4,62.0,68.0
2020-02-20,7.75,2.4,62.0,68.0
2020-02-21,7.75,2.4,62.0,68.0
2020-02-24,7.75,2.4,62.0,68.0
2020-02-25,7.75,2.4,62.0,68.0
2020-02-26,7.75,2.4,62.0,68.0
2020-02-27,7.75,2.4,62.0,68.0
2020-02-28,7.75,2.4,62.0,68.0
2020-03-02,7.75,2.4,74.0,68.0
2020-03-03,7.75,2.4,74.0,68.0
2020-03-04,7.75,2.4,74.0,68.0
2020-03-05,7.75,2.4,74.0,68.0
2020-03-06,7.75,2.4,74.0,68.0
2020-03-09,7.75,2.4,74.0,68.0
2020-03-10,7.75,2.4,74.0,68.0
