title,published,link,summary,source
Mizuho снижает целевую цену акций DexCom до $75,2026-05-01 10:05:07,https://ru.investing.com/news/analyst-ratings/article-93CH-3214982,,Investing.com Russia
Align Technology планирует выкуп акций на $200 млн к октябрю,2026-05-01 10:05:05,https://ru.investing.com/news/company-news/article-93CH-3214981,,Investing.com Russia
Mizuho снижает целевую цену акций Ryan Specialty,2026-05-01 10:04:56,https://ru.investing.com/news/analyst-ratings/article-93CH-3214980,,Investing.com Russia
Mizuho повысил целевую цену Southern Co. на фоне роста ЦОД,2026-05-01 10:04:34,https://ru.investing.com/news/analyst-ratings/article-93CH-3214979,,Investing.com Russia
Goldman Sachs добавил Interactive Brokers и UnitedHealth в список,2026-05-01 10:04:18,https://ru.investing.com/news/analyst-ratings/article-93CH-3214978,,Investing.com Russia
Mizuho повышает целевую цену акций Arthur J. Gallagher,2026-05-01 10:04:10,https://ru.investing.com/news/analyst-ratings/article-93CH-3214976,,Investing.com Russia
Mizuho повышает целевую цену акций DTE Energy на фоне роста,2026-05-01 10:04:10,https://ru.investing.com/news/analyst-ratings/article-93CH-3214977,,Investing.com Russia
Цены на газ в Европе растут на фоне затянувшегося конфликта с Ираном,2026-05-01 10:00:45,https://ru.investing.com/news/commodities-news/article-3214970,,Investing.com Russia
Фьючерсы на природный газ подорожали во время европейской сессии,2026-05-01 10:00:07,https://ru.investing.com/news/commodities-news/article-3214967,,Investing.com Russia
BMO снижает целевую цену акций Roblox из-за сокращения прогноза по бронированиям,2026-05-01 09:57:00,https://ru.investing.com/news/analyst-ratings/article-93CH-3214961,,Investing.com Russia
